"formatted_name","Alignment.ID.beataml","Average.Rt.min..beataml","Average.Mz.beataml","original_name.beataml","Adduct.type.beataml","Reference.m.z.beataml","Formula.beataml","Ontology.beataml","MS.MS.spectrum.beataml","QC_CV.beataml","Alignment.ID.pilot","Average.Rt.min..pilot","Average.Mz.pilot","original_name.pilot","BEAT.NEG.Alignment.ID","BEAT.RT","Adduct.type.pilot","Reference.m.z.pilot","ppm.error","Formula.pilot","Ontology.pilot","S.N.average","MS1.isotopic.spectrum","MS.MS.spectrum.pilot","Std.dev","median","X.CV","QCpool_flag","Sample_flag","QC_CV.pilot","Blank_Co_Lip_01","Blank_Co_Lip_02","Blank_Co_Lip_03","Blank_Co_Lip_04","Blank_Co_Lip_05","Blank_Co_Lip_06","Blank_Co_Lip_07","Blank_Co_Lip_08","Blank_Co_Lip_09","Blank_Co_Lip_10","Blank_Co_Lip_11","Blank_Co_Lip_12","Blank_Co_Lip_13","Blank_Co_Lip_14","Blank_Co_Lip_15","Blank_Co_Lip_16","Blank_Co_Lip_17","Blank_Co_Lip_18","Blank_Co_Lip_19","Blank_Co_Lip_20","Blank_Co_Lip_21","Blank_Co_Lip_22","Blank_Co_Lip_23","Blank_Co_Lip_24","Lip_PB_01","Lip_PB_02","Lip_PB_03","QC_Pool_Lip_001","QC_Pool_Lip_002","QC_Pool_Lip_003","QC_Pool_Lip_004","QC_Pool_Lip_01","QC_Pool_Lip_02","QC_Pool_Lip_03","QC_Pool_Lip_04","QC_Pool_Lip_05","QC_Pool_Lip_06","QC_Pool_Lip_07","QC_Pool_Lip_08","BEAT.AML.Alignment.ID","BEAT.AML.RT"
"neg_LPI 20:4_[M-H]-__A","6770","5.941","619.29077","LPI 20:4","[M-H]-","619.28888","C29H49O12P","LPI","78.95866:20693 96.96951:6575 152.99463:626983 171.00522:28613 178.33995:11778 205.19615:10790 223.00084:69571 241.01122:274356 259.0228:32583 259.24255:61136 303.23251:732594 315.04871:327193 315.11856:6952 333.05746:31156 459.98874:5649 619.29065:927449",29.999813229329,"7341","5.846","619.2876","LPI 20:4","6770",5.941,"[M-H]-","619.28888","2.06688678141862","C29H49O12P","LPI","65.29","619.28741:159292 620.29076:47695 621.29412:8311","78.9584:7063 116.2169:4830 130.86951:5681 152.9946:70792 156.17836:5934 223.00079:10656 241.01106:20672 303.23178:70600 315.04886:27233 619.28943:80007","9895.83446188194","84780.5","11.6723001891731",0,0,11.4703281762019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76487159073609,NA,16.2443824187683,16.1808609857332,16.1802394107056,16.2774690334183,16.2529979826283,16.3888077248658,16.4762399063239,16.5666784205984,16.630508881344,16.3538704731996,16.4959330791733,16.6081392908434,NA,NA
"neg_LPG 22:6_[M-H]-__A","5259","6.083","555.27435","LPG 22:6","[M-H]-","555.27283","C28H45O9P","LPG","109.50549:6600 152.9944:29563 167.4744:6957 168.00227:5805 171.00395:9248 177.16382:8580 224.47409:5610 227.03127:10215 229.19656:18129 245.04202:20803 249.18248:7132 283.24338:149550 327.2338:343169 555.27631:82523",76.774383938276,"6021","5.948","555.27173","LPG 22:6","5259",6.083,"[M-H]-","555.27283","1.98100814684423","C28H45O9P","LPG","61.16","555.27136:186567 556.27471:53490 557.27807:9753","132.98238:5762 148.211:6227 152.99486:13272 229.19319:7337 283.2435:45239 327.2319:91835 555.276:17790","6663.77558088688","65619.5","10.1551757951324",0,0,10.1143169520743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.39660478118186,8.84549005094438,NA,15.8485251405418,15.8934911470849,15.7890496088761,15.9000412853857,15.8823803525543,16.0455677101178,16.0521646986708,16.0995327383774,16.2613971195277,15.9567391450591,16.1150843026277,16.1679472983179,NA,NA
"neg_LPI 20:3_[M-H]-__A","6823","6.908","621.3075","LPI 20:3","[M-H]-","621.3045","C29H51O12P","LPI","78.95878:15125 99.77164:5809 152.99434:427798 171.0051:16569 178.3385:14312 178.37073:5718 223.00015:49738 231.92804:5406 241.01093:167105 241.06711:8233 259.01947:18675 305.24777:461329 315.04822:201721 333.05884:16747 621.30524:624338",30.1377854671891,"7387","6.565","621.30353","LPI 20:3","6823",6.908,"[M-H]-","621.3045","1.56123124802478","C29H51O12P","LPI","17.08","621.30353:88103 622.30688:24301 623.31024:6066","75.38021:6679 80.37591:5771 109.84235:5555 127.84737:5296 137.76257:5077 152.99417:45108 241.00937:17343 303.16345:6405 305.2464:36867 315.04575:16069 621.30237:48140 621.50281:12108","1894.20650013442","17652.5","10.7305282545499",0,0,10.526927156684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89784545600551,14.0233212025948,14.0091287895393,13.9728003352245,14.0141076711999,13.9081111101467,14.1457729694491,14.1764848472919,14.2933279469564,14.3096895022556,14.0683584383174,14.2449583931511,14.369733648895,NA,NA
"neg_LPG 22:5_[M-H]-__A","5289","7.493","557.29077","LPG 22:5","[M-H]-","557.28851","C28H47O9P","LPG","78.39806:6023 152.99438:31928 210.70361:5548 220.0914:5617 227.03285:15252 231.21199:11485 245.04074:13876 259.24542:7053 285.2587:76088 303.23373:72751 329.2496:276536 418.56784:8235 557.29486:86731",45.6203736234166,"6050","6.988","557.28748","LPG 22:5","5289",7.493,"[M-H]-","557.28851","1.84823476804554","C28H47O9P","LPG","47.33","557.28748:284142 558.29083:103848 559.29419:20821","83.04945:9539 152.99414:16215 231.20937:7336 243.45468:5905 245.04272:9554 285.25766:43147 329.1579:11552 329.2475:181207 451.17746:6764 521.40369:7790 557.29205:38029","6089.47906166236","88880.5","6.85131053680206",0,0,6.87236774074138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10328780841202,NA,NA,NA,NA,9.48381577726426,NA,8.98868468677217,16.3390322718201,16.3238991823973,16.2744691560686,16.3529227657222,16.4603439013523,16.3830461017194,16.5352601864397,16.494105548061,16.50155732467,16.4185114903876,16.4977427078099,16.6035249309012,NA,NA
"neg_LPI 18:1_[M-H]-__A","6226","7.728","597.30701","LPI 18:1","[M-H]-","597.3045","C27H51O12P","LPI","78.95879:7386 97.80987:6363 111.38698:6449 112.42895:5842 116.825:5572 124.29956:6032 152.9946:217075 156.88353:7093 171.00711:8556 178.30199:10967 223.00026:27561 241.01111:83882 255.72539:7279 259.02115:7368 281.24799:195900 315.04816:102689 333.05884:7278 597.30585:381004",29.1553544449824,"6912","7.162","597.30255","LPI 18:1","6226",7.728,"[M-H]-","597.3045","3.2646665142574","C27H51O12P","LPI","16.51","597.30341:109003 598.30676:30353 599.31012:3214","152.99496:37998 178.29466:10194 241.01141:14711 269.4332:5398 281.24774:31900 315.04932:20860 597.30487:62632","2084.9671514744","22153","9.41166953222769",0,0,9.19287552595055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4261336899697,14.2637826802452,14.3284645657089,14.3902361442333,14.3939266756404,14.4068693214231,14.5121849034458,14.5908793952606,14.6648916692861,14.4442384380781,14.4491486453754,14.6938136177613,NA,NA
"neg_LPS 18:1_[M-H]-__A","4687","7.729","522.28595","LPS 18:1","[M-H]-","522.28369","C24H46NO9P","LPS","78.95808:60635 80.18404:5327 96.96854:16905 98.19003:5788 126.29431:5284 152.99448:1944618 171.00528:110802 253.25168:5892 281.24701:14453 435.25195:632998 522.28412:80998",35.8726813626358,"5361","7.22","522.28229","LPS 18:1","4687",7.729,"[M-H]-","522.28369","2.68053555336877","C24H46NO9P","LPS","93.08","522.28229:988404 523.28564:278077 524.289:43991","77.58533:4641 78.95885:40688 81.08635:4784 96.96896:11491 144.86969:6106 152.99544:1205114 171.00616:77242 281.24768:10074 401.39154:5302 435.25095:448178 522.28302:70825","13343.7547697813","179656","7.4273916650606",0,0,7.60289278927307,10.4051414631363,10.3847837500933,10.5255208090951,10.0014081943928,10.4199601778479,9.66888498426625,NA,9.3151495622563,9.54303182025524,9.11374216604919,NA,9.1548181090521,9.19721669311005,8.96289600533726,9.19721669311005,8.72451385311995,9.06608919045777,9.18239435340453,8.876516946565,9.2644426002266,9.33539035469392,8.73131903102506,9.01402047031493,9.00842862207058,8.8610869059954,NA,8.92777796208234,17.2420669123288,17.2842186339654,17.3287800966361,17.3260168583489,17.3372386003672,17.4753138714288,17.4923461207339,17.4855384641602,17.5275380944961,17.4341476618803,17.476619646192,17.5982997150248,NA,NA
"neg_LPI 22:4_[M-H]-__A","7398","7.76","647.32269","LPI 22:4","[M-H]-","647.32019","C31H53O12P","LPI","78.95818:20079 87.7984:6018 121.85346:5163 152.99437:490161 171.00504:17760 177.36375:5919 222.99986:66320 240.95912:12607 241.01096:184274 259.02081:24715 287.27499:15786 315.04813:231452 331.26343:483227 333.05664:20063 647.3208:648666",24.5764426573703,"7904","7.175","647.31805","LPI 22:4","7398",7.76,"[M-H]-","647.32019","3.30593736007831","C31H53O12P","LPI","10.28","647.31909:57597 648.32244:21040 649.3258:3084","89.07029:6151 112.74731:5853 143.4024:6240 152.99419:32584 177.16823:6938 178.29665:5914 178.32622:5910 223.00021:6133 241.01205:6716 315.04483:10451 325.36337:6022 331.26288:33156 647.32092:51486","1586.01152122377","17282.5","9.1769797264503",0,0,9.29666776801743,NA,NA,NA,NA,NA,NA,NA,NA,9.02513956227851,NA,NA,NA,8.98868468677217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72109918870719,NA,NA,13.8992625026187,13.8669890903781,13.8112743356065,14.0001760994864,14.0442233356896,14.179831356507,14.1258977317603,14.082065857738,14.184100491909,14.071965072954,14.1035337013833,14.2604785448039,NA,NA
"neg_LPG 18:1_[M-H]-__A","4507","8.098","509.29132","LPG 18:1","[M-H]-","509.28851","C24H47O9P","LPG","139.3418:6273 152.99451:47046 178.34245:10401 221.63701:5568 227.03183:15639 245.04494:12680 281.24896:678680 285.63693:6991 509.29193:123659",40.9068524852798,"5139","7.438","509.28763","LPG 18:1","4507",8.098,"[M-H]-","509.28851","1.7279007531411","C24H47O9P","LPG","293.15","509.28763:1444735 510.29098:396940 511.29434:68001","123.35785:6102 128.99796:8202 130.99405:8476 146.86685:7200 152.9946:143293 171.00525:18446 225.02191:5567 227.03076:41993 245.04224:29787 281.24759:2211492 509.28793:399094 509.41669:46566","30845.3339155801","367142.5","8.4014609901006",0,0,8.28093778439461,NA,NA,9.03617361255349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00562454919388,NA,NA,NA,8.93073733756289,NA,NA,9.4178525148859,18.3636727927929,18.3961531994082,18.3846277846567,18.4211772673443,18.3844886661217,18.5248095020792,18.5828219079021,18.5863010511419,18.7062531741766,18.446077685072,18.5732107748752,18.6588181508382,NA,NA
"neg_LPG 22:4_[M-H]-__A","5341","8.129","559.30627","LPG 22:4","[M-H]-","559.30408","C28H49O9P","LPG","76.46931:6057 152.99481:21458 171.00533:6864 227.03146:8038 245.04041:11353 331.2644:330374 401.00278:5889 559.30646:54845",38.0972176820371,"6094","7.436","559.30292","LPG 22:4","5341",8.129,"[M-H]-","559.30408","2.07400596832253","C28H49O9P","LPG","13.44","559.30408:251491 560.30743:81106 561.31079:16716","76.32208:5707 94.10542:4999 152.99471:15308 227.03392:7246 245.04449:6110 287.27042:9923 331.26303:325123 523.40247:9571 559.30481:63934","7620.02188565616","88955","8.56615354466433",0,0,8.35240990885576,12.6816776552097,12.7700444002968,12.8273427042341,12.337343147274,12.694575537526,12.5545888516776,12.4141566792741,12.5449644327892,12.4486325677306,12.4109812670438,12.319107575825,12.5493033685136,12.3473445394315,12.3269911749008,12.6923975554685,12.311748315005,12.4850745636986,12.3083390301394,12.0420013062791,12.3202364452416,12.5420645422834,12.4325419003883,12.4286218860911,12.2606255560682,12.4604558963096,12.61194694182,12.4812949046311,16.3800382328768,16.4485680450426,16.2940642678472,16.3783964696587,16.4260845376252,16.4329659298626,16.5219377651963,16.5417318906423,16.7057808606853,16.4069855452803,16.4850745636986,16.6518085037961,NA,NA
"neg_LPI 18:1_[M-H]-__B","6227","8.146","597.30756","LPI 18:1","[M-H]-","597.3045","C27H51O12P","LPI","78.95879:10741 87.37611:5941 104.66155:5303 132.03117:7799 152.99455:296017 153.02426:14311 241.0112:297831 243.73541:5537 259.0192:6805 281.24802:592825 315.04828:208721 333.05518:6665 380.22763:6582 417.24048:101196 597.30573:1352425",32.7804678255929,"6914","7.464","597.30414","LPI 18:1","6227",8.146,"[M-H]-","597.3045","0.602707664182309","C27H51O12P","LPI","26.95","597.30371:78582 598.30706:23456 599.31042:3114","135.64088:5475 152.99426:18521 241.01213:13829 281.24921:34207 301.94174:7235 315.04984:14524 597.30493:65708 597.47498:5746","4212.30073173147","51841","8.1254233748027",0,0,8.17018199610425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8073549220576,NA,NA,NA,NA,NA,NA,NA,15.4953241593243,15.5492131069913,15.4539457746008,15.5833472530232,15.6354347221647,15.7225140537355,15.695935108504,15.7072243045488,15.8508949208293,15.6135880531324,15.6877037302136,15.7984718011016,NA,NA
