Protein.Group	16.01184_CD14plus	16.01184_CD14plusFlow	16.01184_CD34plus	16.01184_MSCflow	17.01060_CD14plus	17.01060_CD14plusFlow	17.01060_CD34plus	17.01060_CD34plusFlow	17.01060_MSCflow	18.00103_CD14plus	18.00103_CD14plusFlow	18.00103_CD34plus	18.00103_CD34plusFlow	18.00103_MSCflow	18.00105_CD14plus	18.00105_CD14plusFlow	18.00105_CD34plus	18.00105_CD34plusFlow	18.00105_MSCflow	18.00190_msc_f_30K	18.00260_cd14_f_20K	18.00290_cd14_b_20K	18.00290_cd34_b_20K	18.00290_cd34_f_20K	18.00390_cd14_b_20K	18.00390_cd34_b_20K	18.00390_cd34_f_20K	18.00390_msc_f_8K	19.00019_cd14_b_20K	19.00019_cd14_f_19K	19.00019_cd34_b_20K	19.00019_cd34_f_20K	19.00019_msc_f_10K	19.00019_msc_f_20K	19.00074_CD14plus	19.00074_CD14plusFlow	19.00074_CD34plus	19.00074_CD34plusFlow	19.00074_MSCflow	19.00406_cd14_b_12K	19.00406_cd34_b_20K	19.00406_cd34_f_19K	19.00431_cd34_f_30K	19.00431_msc_f_10K	20.00083_cd14_b_20K	20.00083_cd34_b_20K	20.00450_cd14_b_20K	20.00450_cd34_b_20K	21.00034_cd14_b_20K	21.00034_cd34_b_20K	21.00176_cd14_b_15K	21.00176_cd34_b_15K	21.00432_CD14plus	21.00432_CD14plusFlow	21.00432_CD34plus	21.00432_CD34plusFlow	21.00432_MSCflow	21.00839_CD14plus	21.00839_CD14plusFlow	21.00839_CD34plus	21.00839_CD34plusFlow	21.00839_MSCflow	22.00117_CD14plus	22.00117_CD14plusFlow	22.00117_CD34plus	22.00117_CD34plusFlow	22.00117_MSCflow	22.00251_CD14plus	22.00251_CD14plusFlow	22.00251_CD34plus	22.00251_CD34plusFlow	22.00571_CD14plus	22.00571_CD14plusFlow	22.00571_CD34plus	22.00571_CD34plusFlow	22.00571_MSCflow	22.00697_cd34_b_20K	23.00083_cd14_b_20K	23.00083_cd34_b_20K
I3L4N8	6662875.075740553	12050063.801708091	4920238.320239415	17005733.47442175	8162930.890182842	6978646.263106378	2433190.340428303	36915600.08183822	6686149.271789326	5846929.315505202	11299311.663111793	3763383.0246736	5341701.295006638	31977971.48564044	8957267.615734203	13512576.444595229	5639918.987998354	24704412.068084434	7260155.815748646	8102205.797571699	13037088.774074106	4776239.400883747	5958344.607853434	9691602.798531791	7052397.107422591	4349841.21627131	6697656.8146466175	6127509.930303606	14055801.65892183	17044799.238263506	7990799.730035036	9479255.846992575	14609216.107924435	13936095.507848287	9519919.677742815	33617239.08902111	3350070.207029932	5289469.89750657	17070808.4062997	18179868.155623265	6671783.212082428	8195030.346782354	5617098.708962082	8759933.971618807	5828374.048004132	5578279.241165323	7318537.42317188	5017378.305221849	6905989.706527321	11370269.584232105	17970714.79991148	9494414.275086742	6117643.29169155	13070404.022681985	2839063.719490437	3688818.837782498	33407813.479387928	3896191.893746535	9085256.552424466	9720091.75135282	5876594.937507899	10135473.263127953	7216695.482204262	11696600.087195406	2352580.7377414363	21882436.24338794	13929550.202513449	8359580.001164448	42713146.13309727	4911123.571143289	24544957.326896224	11926908.089485412	22980068.467813376	4012087.0945143974	25927059.02952082	5036213.083496627	10372640.011428604	2361715.110448622	5416930.276690565
Q8N257	11747732.026722979	13677535.292178178	24947150.904902842	33411951.7844472	8380845.339347926	8777848.864245242	15410139.546155293	17232675.09077126	9958649.689442093	17301597.830041282	16070736.941506678	4824562.37380085	8613710.467145767	41250933.90080774	6514353.385992513	19323967.108507495	5312989.74756735	7115367.2836862	11312409.845188249	8789610.29841498	14356437.739063483	12193958.390432952	8420182.295610743	11994827.946285317	11967038.729269946	19277028.75465704	12945313.491440233	32639075.261292547	10373075.925674744	11881371.593240038	12901711.508349586	15130214.20232783	16698961.769484347	17827216.600531653	10806045.803334817	28281609.48844847	8970030.532525565	15745213.776662951	65923262.48568039	11162637.303813953	19108111.147932917	16205421.150990808	18138380.33464351	23697954.009626035	6851541.858780408	7871569.882555142	9186269.580665948	8535589.98728718	9495280.19062623	17158067.22292985	33017285.814395655	16971934.172377393	26823130.870483946	14637386.385282952	3008838.632337853	13341130.355458273	30545899.389227144	3973543.323643249	15659309.581676811	26843977.87510175	7485814.929355848	14173101.988668615	8457448.023440856	10168181.429874359	9677322.568377675	17494712.85404486	23837145.83905726	34481767.22770154	23926366.800265748	21772760.512078613	28615586.38593574	25356984.66718321	21571646.144328557	12991404.13348676	25169004.790428124	6187699.067470291	11073730.722264772	9546026.230263187	6826949.329109661
Q562R1	3326547.443594119	5250607.862623605	3738972.997014443	12620084.744771795	3267954.4623638866	3816232.859367459	1960686.7702137814	5988515.639894879	3944645.964792771	4277575.935029956	8086627.255478158	875263.7487823898	2325916.351746428	9706033.770993311	4594706.585080621	9038725.431774532	1787989.346749146	7422723.461005149	4275601.348022701	4485687.653443984	7560855.252853653	1740007.2770909017	1954083.0174075435	4450338.880363016	2396201.4080518144	1868957.69583066	2749120.8988189762	3708720.0387285673	5403501.225708419	5696733.829474386	3509369.8010476106	3807002.9210658707	4240720.506252279	3571328.7115895743	8343992.380004139	14959970.496097686	2634778.0022470183	3266415.6120159086	11177344.865861828	6857945.077185102	2657239.061380589	4444725.310400821	4047287.2221123697	5397789.254233357	2323785.7127224384	2071841.186021957	2653207.355329372	1530450.61089667	1768230.2421883862	5246947.48936037	5295352.68757414	3374207.850882895	3202648.3602230675	8330425.6487652175	1740192.0704193516	1753473.79393608	5410049.969110218	3717628.2931875237	5137425.413458785	2044119.7169185672	2261538.3763066656	3436365.328712409	2904874.607018718	6244583.461207595	1328811.445791099	8289193.133808948	6185831.584009926	6093784.991340335	11711523.749010762	2654701.9506174014	14370052.363750806	6336539.781238945	7636419.719832629	1460684.9511133896	5717172.734641016	3266978.777478892	3565815.6808157517	1539272.5949070645	3274052.398185429
P62805	7448385.488861396	22415207.20368717	28266307.494243637	48489091.642103724	2263813.4367405847	7081191.119915036	5407388.747547458	20769685.6558155	4781299.892891801	10692957.416671975	16671888.826174337	5945165.747311142	7175879.570902628	23204995.30200197	4883444.605218175	15543574.226573607	4073646.3983263574	10282616.745385028	15350938.602540044	4124804.3147967807	6873277.716370107	5735324.0926060015	4798448.511579053	8564443.94768672	11617373.301981544	16019163.106719302	7282798.496099552	22012311.22945511	7455601.973490703	8872478.301247807	7487568.140849553	8516515.268262485	11820223.250596099	13197511.138211478	12577196.96272608	47130029.709815666	9373342.220669385	13365290.263661483	75505137.95250192	13748601.677735016	10699756.436311726	10463824.550640171	7958147.431856751	8759549.727919377	8310104.110915978	5355668.091509948	5538253.09242565	7804664.059408107	4377783.4041382875	10554706.418107342	15308082.625371275	11990564.863349035	15273531.746795632	11877893.379630592	3435892.023482653	9547496.819162518	36570650.748359494	2799001.030889796	17975681.083667528	11233637.081575856	4264346.295575384	9355096.391222008	3147503.830690371	6722323.592357971	3636149.942112485	15381906.268625952	12903347.790193696	28905236.770739183	17726772.29386205	12595212.182643063	32896144.04651711	14477077.640719328	14977008.764011115	5184346.92785239	20434632.67646985	3000667.351883335	7240022.268153102	4968612.921393711	4559163.015432872
P10412	5013897.915546044	2586718.5092661874	9460544.333411152	23511421.442264862	1540593.9995442654	4227604.974896333	2209056.8343477705	6430815.976137323	3454862.638001344	5711633.921788686	6678756.380248368	1285595.7036562264	6636610.495781401	30052903.508042496	2809655.409563785	11977978.14979944	2680316.257741142	2934226.8362138025	4243577.20131695	3230662.1775503843	7484037.455280556	5023151.32318124	4698208.4782977	5873726.706716927	7043849.5638705725	7350287.2522828635	4012843.4405091787	10485074.90259166	2748558.6760436418	3781972.7350497996	4062661.090722871	5205170.345119249	5671881.935232148	5894899.384631752	9606907.350333694	11019952.417680588	7688519.047582805	10720239.632911617	32232710.988711808	4959357.104139579	3194598.033543941	6558952.613902994	4767105.323673694	5876542.9425637955	3844934.5962352306	2579891.0195361897	3942176.0553403604	6208410.03038987	3417877.601564501	5422444.9253455335	6030297.057922118	5228538.746720372	10807104.962760877	7783256.877979779	1488382.6823884512	9009155.074894313	13070392.87657482	2207629.8454630435	9311880.573015949	5638546.721072158	3054629.6217896724	14725349.234381119	2854776.1120455414	5213176.842424517	2609943.006299183	4793468.826888259	9062656.178534888	34087911.901633725	5295314.4379680175	16272273.39278184	8742172.112999586	6246434.098609185	5712350.220022098	1979802.341021557	2862184.922598977	3581174.6719217207	1756315.9979589845	2130688.4641452874	779023.3416127661
P60709	10453646.000485167	6226071.633165627	6482344.61577299	7976661.0478377985	5981690.735573678	9666331.136118704	2133571.804854448	5381944.496894683	6881041.127151627	1905094.1884886266	7419290.192034501	3743959.180427693	4915514.299283391	17933391.646125667	13257546.610546317	11167898.227829933	6058366.125345523	17529499.891889453	8599006.11053047	6537684.225004356	11394708.780253373	4227949.280685904	4605547.273801462	6443546.554947899	3889031.682711149	3384638.015277442	3937286.2051805747	3890904.951172918	9222576.424015518	17550285.31035137	5572258.064421188	6621166.179137924	4915642.017333847	7450600.689298797	8509649.442154873	14172434.429555833	6746557.705009128	6014792.681414644	15329749.964734092	7735258.112667681	2287716.8978885473	4520172.003317128	3571016.87051402	3785376.44207373	5290482.528430307	5050242.211863189	7659143.592568486	3006825.709154493	6012802.891674606	9623682.640141804	3381127.903023644	4045381.070097575	6720977.597946232	11078066.308247587	4982469.256013207	3510195.718466471	11536438.796953961	6764250.2160139205	12105965.377753638	5949807.622628356	8655307.861479888	11032153.645383792	5179225.000136677	12428071.781125072	2316446.8088151263	17085724.622867126	10559632.079185892	6122718.470610579	20686181.39311689	7675211.436471837	10913113.063379137	11922880.319602849	11942980.088349357	3033812.384749546	12472294.25394913	5490879.587025932	3539246.380602519	1779281.0956295414	2094637.6061859147
P13796	7952771.314227355	1487155.4668568575	2682070.733060339	4421604.557482933	9715732.477143062	9565419.701321824	3284958.2380780107	2898532.59976507	7232766.3669218365	4416192.883451853	6594334.0288857585	2384851.952244494	2818311.2875577537	4026826.4822724285	10862124.205063269	7308680.383359673	3434661.4851275254	5006516.197287894	5317658.375050678	11667136.202501448	11518164.78792346	2226665.359430125	2777156.8425308545	3897751.956889417	2251358.116734821	1592397.742406909	3475183.0794816623	1327613.6819714834	9888752.773035524	12334972.769236468	3562646.273263657	3586578.225233313	4241460.884177412	3891702.124994029	2985688.109586506	4298174.151618162	1810046.0622379659	3036189.8510804526	5010123.489167784	5735196.2994105695	2120257.074645823	1943406.2077768848	2691924.7386221667	2966480.1262744856	1898148.6915390308	1769683.1862504657	9282085.898334384	4456731.277430889	8353824.541588315	3153857.111831411	2441377.577153987	2506930.6611576006	4006820.4535804885	8343045.000681038	2725301.563221368	2839206.903291034	2907754.7780916193	5009386.65521663	7871609.365065825	1727232.7478643574	6627869.983962345	9664618.575812908	5979321.487667024	11337397.71239868	3425078.84902406	6941410.488367944	7457064.040063563	1553350.6073818612	5864245.991140906	2905566.9006582974	4682442.94421587	10562822.894171508	11689508.920926519	2108295.8585274382	3354086.805164722	5535813.423541343	5336652.206344254	6071543.975234208	2273989.230446588
P07737	4482780.54016946	1693742.4134594304	1665881.34140888	5182245.168078589	12263402.544643851	12429489.002294902	6018879.046074609	5884133.9745519515	14372052.587634867	4317895.840912897	5901056.024470627	3327761.2568554496	3529875.719212631	10896626.256849058	9392922.749496067	6456209.289693207	4404466.003427804	4443030.537678237	6016829.0611325335	14098828.094938165	17698796.764160898	6051792.713945308	6495104.617763821	8346890.902328715	5094875.481615066	3334190.0560820606	6898738.425402369	5673963.904478947	16990819.458473537	25812835.263016988	11420143.090292277	12187508.707277307	11948529.527310954	16126438.379853718	6977567.820679846	10214287.892419657	6812640.15465129	9615485.770010682	12630229.78512929	15817131.27684374	9006005.852745192	8577042.818347622	10306920.807391489	9230933.624168528	7470861.724609872	8003656.285566138	11424900.567141633	7970493.91411898	10822303.141704386	6556750.23968314	6346755.570102737	8851218.331267934	4554153.467029053	16120886.626207145	6786122.333287299	6269751.782568928	9071966.64889067	8389956.03721146	17967347.989697613	4618677.833864627	13157723.101411361	19861280.067035563	9361943.890525026	14897139.424300496	5063148.4329319205	9940815.661295917	11400806.55157322	2031404.4443576413	11844981.567397423	3191173.9133553645	6591656.88207228	10697062.055393973	13778915.287146721	5705874.108423575	9765374.41201575	9096907.448585253	15235801.10037554	13682114.009456607	7934820.740535939
P62328	3711921.719738386	232476.36833441546	642990.4601763557	3140092.941894415	4189839.1317373244	5319463.40452542	1302023.4674028868	1341333.7266517314	4148445.1194362906	990343.205677443	3047497.3705256865	1028166.0343695682	1039698.4845629408	1135784.0742403902	5161559.10805332	3971173.2473618872	2935368.8651533723	2473026.231953281	4091975.107825283	5401103.587656612	11772064.873002058	1031356.6103338717	1811496.0620462035	2583920.9973676787	1199771.6068282463	1081003.8818032357	1356549.8685680963	683975.3577613534	7233918.839380682	14569281.054184262	2041042.3147613073	3818940.593975092	6536240.68684547	5037608.536796687	57792936.45871045	10382077.221668195	2383412.7517592437	3836555.07839934	5620357.668925202	4986510.509807263	1984505.6980876885	2089590.8785650986	1924488.646464099	1393354.4722372883	2080127.756245602	1649226.5664274308	6951507.11095798	5425177.039521434	4168142.5226246985	5542870.070030704	2381719.8719883556	1606039.8713543664	832311.1504731012	4047920.979748924	2135730.48116245	1109562.9394042487	570399.0610255498	10136261.067891762	11897671.970837245	1019983.5565357112	4924865.792606186	5892663.586775103	3381064.511307345	7080667.913109158	1516809.3673110325	7158542.035602984	4819189.8822331345	1159032.5701969587	13291788.605016908	1557192.4656665465	5837192.601517692	3958898.577421901	2106471.3491609395	1254624.3257148336	1414959.0385824086	8779152.72190705	3912141.4964107284	11555445.180929143	3386693.7762645725
P16401	4546383.254219843	1438659.9912772642	6014311.07749876	16801128.604022693	1596774.1869604462	4626995.17287844	1966295.1893984599	5491585.028121267	2483603.9063008586	4390283.4087332925	4952707.394869319	1050695.2776901412	10354679.170828773	18562239.30468348	2468841.0597548233	10818179.06113878	2149105.936851726	2189309.390075165	3035460.152335702	1998164.4221978884	4500135.373499523	327629.4851562576	205091.9835351416	168406.811309371	4817305.482312225	4715091.52379567	2427448.186993229	5701453.414519517	2503014.8051185347	3274007.697875538	2108202.463418699	2496817.692089409	3833709.6402739747	3071807.204468731	9364765.230783056	6119267.082598132	5840376.928151162	9919575.539617592	20934974.67907976	3823697.6098115873	2999997.550172109	4516572.749066468	2603299.310071448	4833290.728027566	2329519.6804397004	2863834.298131936	2281573.6016486567	2641839.1041785767	1887759.5616317273	4300471.340092917	4814917.818307655	3593484.7572726584	11647188.732832257	6354087.4305045	1280061.0092570176	7681654.7026522625	9276633.931735631	1599278.4860910256	6059882.2057837825	3608343.4191078376	2767226.5967633585	6381672.162599887	2554989.5252915137	3694478.063167843	2308397.943630817	3119587.203875937	6197492.9279218465	1256808.3332813138	2824657.2935533132	2213771.08421052	1948399.5428080242	4647317.774392081	4185068.5937248296	1785862.4354923263	3824512.3844814156	3254929.5970495706	1064973.2487974	1187264.435162312	506595.79826079257
