Protein.Group	16.01184_CD14plus	16.01184_CD14plusFlow	16.01184_CD34plus	16.01184_MSCflow	17.01060_CD14plus	17.01060_CD14plusFlow	17.01060_CD34plus	17.01060_CD34plusFlow	17.01060_MSCflow	18.00103_CD14plus	18.00103_CD14plusFlow	18.00103_CD34plus	18.00103_CD34plusFlow	18.00103_MSCflow	18.00105_CD14plus	18.00105_CD14plusFlow	18.00105_CD34plus	18.00105_CD34plusFlow	18.00105_MSCflow	18.00190_msc_f_30K	18.00260_cd14_f_20K	18.00290_cd14_b_20K	18.00290_cd34_b_20K	18.00290_cd34_f_20K	18.00390_cd14_b_20K	18.00390_cd34_b_20K	18.00390_cd34_f_20K	18.00390_msc_f_8K	19.00019_cd14_b_20K	19.00019_cd14_f_19K	19.00019_cd34_b_20K	19.00019_cd34_f_20K	19.00019_msc_f_10K	19.00019_msc_f_20K	19.00074_CD14plus	19.00074_CD14plusFlow	19.00074_CD34plus	19.00074_CD34plusFlow	19.00074_MSCflow	19.00406_cd14_b_12K	19.00406_cd34_b_20K	19.00406_cd34_f_19K	19.00431_cd34_f_30K	19.00431_msc_f_10K	20.00083_cd14_b_20K	20.00083_cd34_b_20K	20.00450_cd14_b_20K	20.00450_cd34_b_20K	21.00034_cd14_b_20K	21.00034_cd34_b_20K	21.00176_cd14_b_15K	21.00176_cd34_b_15K	21.00432_CD14plus	21.00432_CD14plusFlow	21.00432_CD34plus	21.00432_CD34plusFlow	21.00432_MSCflow	21.00839_CD14plus	21.00839_CD14plusFlow	21.00839_CD34plus	21.00839_CD34plusFlow	21.00839_MSCflow	22.00117_CD14plus	22.00117_CD14plusFlow	22.00117_CD34plus	22.00117_CD34plusFlow	22.00117_MSCflow	22.00251_CD14plus	22.00251_CD14plusFlow	22.00251_CD34plus	22.00251_CD34plusFlow	22.00571_CD14plus	22.00571_CD14plusFlow	22.00571_CD34plus	22.00571_CD34plusFlow	22.00571_MSCflow	22.00697_cd34_b_20K	23.00083_cd14_b_20K	23.00083_cd34_b_20K
A0A024R161	86278.20034988833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96026.54286360022	NA	126084.89770513051	NA	80889.44227552356	458461.9702122693	822822.111849364	371310.5458603423	264393.1671810151	215426.0753702288	258378.67641383217	236387.41722444078	103010.46056305738	102693.67763221705	399276.0946957623	639568.6315667839	222637.5983633315	287439.66250829	182621.91689980062	203067.63096451364	NA	NA	NA	NA	NA	462083.2041557166	179300.84076341774	139295.6553802136	149937.65120270342	138277.59300244995	292294.3326128316	279259.00582314515	596094.0968137506	489591.19613250584	349011.06874266674	1143310.3122118867	1162163.6957882189	517945.1451625377	NA	NA	39907.92214110368	90680.33859355196	NA	NA	84467.22516636021	NA	74278.07458519314	NA	NA	NA	NA	NA	NA	NA	NA	112273.6667447853	NA	204771.21454193402	NA	NA	NA	157833.52844715485	635550.1592963886	203981.0276282453	183054.49879862793
A0A024R4E5	5522545.693138149	640288.3711659407	2394957.8493300015	7268353.777564168	4015539.8071138454	5573018.767006256	2130992.744544454	2560823.139409204	3217655.0843582563	3837590.1251124833	12554940.378144827	7316368.208866726	6605666.7833547965	3136498.188578533	6716833.514661709	6072259.149893114	5896818.413051087	1980784.2224740859	5645792.5048695905	5437585.344943897	6039277.772762042	3946026.0604825444	4144671.6324784835	4294300.442110208	3823306.0901776524	2510659.4202242554	3593456.2152796336	3912943.7807171275	4037990.0762293176	5502299.0820053555	3900627.2841997514	4450971.745987491	3548488.068741729	3717019.586188769	4694335.956231569	6474039.058183841	3511596.7553203427	3766737.1324569033	3743777.613169747	5528124.777585526	3235505.451975373	3939669.1267181514	3782502.1206140025	3322989.6678849654	3487147.779187381	3843648.8181272084	6065245.979035653	4206459.668101573	5836718.373791113	2406176.723199866	2617088.4171233065	2835735.7365018674	2595967.8128859363	5748593.824982711	3470396.8943256163	3275477.359123846	917075.6655925122	6648810.447896948	5478374.593891331	1725829.7885234563	5322454.957744371	3869999.9999999977	3241121.3501725993	5998612.393377616	2218193.24887713	3638419.4168636976	4026327.747642043	1208629.4797963328	1988059.3495185808	2817387.5941405534	976590.5591870468	4126892.698740206	6965203.132415782	5453301.744222157	8656149.980349854	6812748.1239189645	3012177.0847582994	3439352.2092966246	4756479.738033762
A0A024RAC6	1076882.6037977063	NA	673609.9057780928	280414.8296614861	1550199.2501415052	1022637.5702379593	763030.5168332432	NA	817712.134862748	695668.0079551137	734550.4901340354	971359.3807989834	675378.8640477331	237077.1050604602	789227.9379727506	618890.3751049966	641776.9559741858	NA	806506.138154187	542787.7571842466	803598.0943195021	867582.9365685825	793550.8995994577	836029.8316326925	577379.7023358303	679027.3794467374	587918.1687148024	552315.3012433769	619278.1327760781	868588.0239709418	569125.0573763837	732778.3151144077	699155.7003467354	706989.4068716322	357532.2338656127	NA	636683.7424835364	1132604.276791239	NA	1006422.6316042197	578003.3310370963	668036.6926059806	650433.4647335245	586883.8116882137	636189.2745465233	853572.6637498717	729835.6406416966	740400.9712356774	750999.9858314048	375417.0952617218	575587.396199023	450425.88933531044	532485.4701127412	911522.4294509386	947560.6712664323	815421.5743160964	276964.36802259117	1149496.4888030144	886058.881550182	533485.5986808547	718907.3176768807	771493.0000000003	1031626.8426821994	990953.6894859299	780440.7641747252	NA	803856.1892424463	143198.64908579743	NA	557079.2371890227	NA	115963.31951497923	283813.87190318084	503706.22064546036	NA	517007.89477731136	837426.1461462027	1040352.2360659661	925424.980566714
A0A075B6F9	12689.216960804599	NA	33995.42682163571	NA	9059.433187081668	NA	17238.18850546371	NA	18665.862681755498	NA	NA	17399.006841296035	18259.397032647285	NA	19486.805914696026	NA	23544.139517516312	NA	15840.03508189435	40843.9915837119	15535.076192672044	18970.968701283262	8277.450666875415	18665.723431739596	13821.931016061453	2633.323066183784	7956.775358664695	NA	41526.64046456863	38494.820744872835	45053.11510919915	45953.98105055569	53640.506863092705	53514.96576704872	NA	NA	NA	16518.226145336932	NA	26183.80244712702	12432.579432818351	43548.88174070739	11252.319120049204	NA	38191.79297898611	52891.41612936833	44581.184273698156	21471.324182953333	34995.91651282574	NA	NA	43182.42119889832	NA	NA	NA	NA	NA	NA	NA	NA	NA	25873.399999999994	NA	15748.065322621469	NA	NA	NA	NA	NA	14889.992517539416	NA	NA	NA	NA	NA	NA	13494.564145651546	49620.63436765661	55678.820368779176
A0A075B6H4	150181.38201282025	NA	185479.5375009463	NA	NA	NA	147660.90036566523	NA	NA	NA	NA	248977.62335473302	250665.6892813933	NA	148234.94458601318	NA	152702.48081959723	NA	NA	190090.76707022233	116005.98562194868	260513.49909169172	263783.99576573406	196734.00572750048	258738.68759155224	424237.7387191765	320413.5132569861	202119.59256928586	NA	115638.28115319353	219696.98160066482	248190.2774038451	182222.45226203234	112822.24280385532	NA	NA	221140.13290530175	223453.57351890227	NA	NA	137367.45960359822	369371.3107655674	283972.3566486246	154644.0882047497	358888.6856802473	399555.880228437	163975.9340363764	191168.90734343106	169707.27781988456	91541.51042472148	NA	175428.5218527062	350724.91735849093	151466.63042659953	258616.8229474553	383099.6315881179	324713.9421453511	173494.7138087784	148494.2666107851	159895.39566546248	214497.1524866643	131454	NA	NA	163924.15425023888	NA	NA	NA	NA	155442.9857056813	NA	NA	NA	189061.40275236047	NA	161969.43896389956	54300.69172145713	NA	NA
A0A075B7D6	147669.68575046054	NA	211336.9645004374	178891.81331184163	164550.70354678435	134578.58064837998	211696.82236847625	NA	130737.5491733977	40240.106448219514	NA	252455.50785350014	132834.14946918868	NA	208941.87509810328	NA	187505.72149410698	NA	175674.60435041762	89705.49417244193	NA	192451.65383897835	93958.00957222782	163671.47381583252	NA	50192.7391102735	NA	NA	42321.77270865985	NA	NA	NA	NA	NA	NA	NA	116657.38242053895	137116.37651855187	NA	NA	NA	NA	NA	NA	69672.6933275469	NA	94280.1350914736	NA	74066.77104292714	78860.52592524928	NA	NA	239032.02137513092	244585.62132040452	516338.13022943476	286782.5670792761	NA	NA	68144.91692474212	130731.48228033399	182063.44258790938	101560.9999999999	152059.6135666974	NA	169859.8694041405	NA	NA	NA	NA	119494.22946242259	NA	76339.4166328262	NA	139385.80934149	NA	92370.08986808587	NA	149777.020244156	NA
A0A087WT20	1590491.0355677526	672042.877888784	4753403.105453697	3264230.7384270276	1102501.4160384184	694474.651057061	3551403.0584434094	NA	1798451.348317988	2221525.2629294414	990949.4621536619	2386966.551560707	2313917.5220150817	1421615.812825568	838520.4561005367	1653829.0569691095	2531652.6571865696	NA	2136235.8367619687	1992922.7018262455	478066.78837961145	2909479.0315077216	2118056.292532077	2133867.521429461	4289852.818632247	7143328.771276074	2266591.3713700506	5772763.521693063	2071255.71196334	730382.1347241554	3120445.5628513475	3446817.1719142767	2674071.4196640644	3378758.0012116004	1437001.4638465126	830792.3769513441	4180394.995877475	2905529.0239344058	2248114.557154756	1443547.1160287885	3118846.0606384166	2541830.6021706183	2720889.809890161	3276374.7632417493	3411748.2622508355	2685631.383269463	712144.0643183041	1286037.816207817	850599.4863384833	4631475.20188771	3919996.592936445	3128926.4493200597	7032530.519548384	1260804.1688611472	4466630.70310678	3870787.8565818546	3164662.7476594043	580769.2327480955	620917.4607158275	6493613.11533306	1531183.801449993	878069.2500000009	1194222.0026720546	695834.7681567903	3755837.976169554	NA	1466770.7616241986	2330649.6622520313	NA	1499469.8992540496	NA	289242.7389882122	NA	1958363.2821341797	824874.9451274679	1021375.7287026342	2644605.3836998655	831986.5199962028	3069242.8632371696
A0A087WT35	856751.8084131845	NA	317994.6081467628	NA	2741675.8489965075	776863.3067920072	1961823.2192534406	NA	2332764.6771706934	816177.401453669	NA	515827.6823574284	NA	NA	478114.5108206378	NA	348973.7136843637	NA	586137.2360847439	224087.42122647364	262937.3436368442	NA	NA	NA	163991.82063258457	NA	NA	NA	569734.2699228531	536064.0448948006	NA	NA	903649.3464368553	1185223.9460416413	246213.2984728789	NA	485127.50294150464	236418.87909504128	NA	1139681.185638225	1025874.8871661476	NA	NA	1259647.833884052	318862.8365465486	NA	966230.0376697156	1539032.826740756	375944.9068966485	252641.60196015378	1365081.1664813983	535243.9852950546	NA	NA	NA	NA	NA	3651395.901713896	255255.44486265018	NA	252528.31084931336	310404.00000000035	3047150.2776275836	532769.6416134664	2814548.5578243267	NA	1978245.6036115082	NA	NA	NA	NA	1412974.6835912014	NA	503486.53326681664	NA	1425401.996272996	1394314.1139498877	2887794.311507685	1092577.7004264167
A0A087WTA5	11019.390308242857	NA	NA	NA	NA	17772.966881577115	NA	NA	NA	NA	NA	27146.193312657317	18402.570018889783	NA	NA	NA	7515.658867945092	NA	13660.322483881713	64521.274744381815	40741.74055725923	81560.66367761094	72598.19992302984	82349.04092177366	72342.81621199708	48782.219599324846	67275.76028365773	NA	NA	102073.37527135902	80640.84134500945	106939.66109623287	NA	42424.03884692621	NA	NA	NA	21550.973612791826	NA	NA	NA	68987.75826761527	61498.1797958814	NA	102084.95031717276	113981.21317775887	92892.59049084368	35282.566533284466	224247.60876141576	NA	NA	NA	NA	NA	15196.309671413966	10320.658538836879	NA	NA	8869.488467510071	NA	11646.196754414417	7689.930000000002	NA	NA	NA	NA	NA	NA	NA	8479.832707026733	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WTD5	52202.81898960451	NA	116877.59269265694	NA	NA	NA	144484.7588768533	NA	NA	167849.28313071624	NA	NA	NA	NA	NA	NA	NA	NA	NA	35705.44331858083	NA	25432.38954154821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72861.84968810201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66962.84841772917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	576351.9922897615	NA	299697.5567360274	NA	NA	NA	NA	NA	NA	NA	NA	NA
