Protein.Group	16.01184_CD14plus	16.01184_CD14plusFlow	16.01184_CD34plus	16.01184_MSCflow	17.01060_CD14plus	17.01060_CD14plusFlow	17.01060_CD34plus	17.01060_CD34plusFlow	17.01060_MSCflow	18.00103_CD14plus	18.00103_CD14plusFlow	18.00103_CD34plus	18.00103_CD34plusFlow	18.00103_MSCflow	18.00105_CD14plus	18.00105_CD14plusFlow	18.00105_CD34plus	18.00105_CD34plusFlow	18.00105_MSCflow	18.00190_msc_f_30K	18.00260_cd14_f_20K	18.00290_cd14_b_20K	18.00290_cd34_b_20K	18.00290_cd34_f_20K	18.00390_cd14_b_20K	18.00390_cd34_b_20K	18.00390_cd34_f_20K	18.00390_msc_f_8K	19.00019_cd14_b_20K	19.00019_cd14_f_19K	19.00019_cd34_b_20K	19.00019_cd34_f_20K	19.00019_msc_f_10K	19.00019_msc_f_20K	19.00074_CD14plus	19.00074_CD14plusFlow	19.00074_CD34plus	19.00074_CD34plusFlow	19.00074_MSCflow	19.00406_cd14_b_12K	19.00406_cd34_b_20K	19.00406_cd34_f_19K	19.00431_cd34_f_30K	19.00431_msc_f_10K	20.00083_cd14_b_20K	20.00083_cd34_b_20K	20.00450_cd14_b_20K	20.00450_cd34_b_20K	21.00034_cd14_b_20K	21.00034_cd34_b_20K	21.00176_cd14_b_15K	21.00176_cd34_b_15K	21.00432_CD14plus	21.00432_CD14plusFlow	21.00432_CD34plus	21.00432_CD34plusFlow	21.00432_MSCflow	21.00839_CD14plus	21.00839_CD14plusFlow	21.00839_CD34plus	21.00839_CD34plusFlow	21.00839_MSCflow	22.00117_CD14plus	22.00117_CD14plusFlow	22.00117_CD34plus	22.00117_CD34plusFlow	22.00117_MSCflow	22.00251_CD14plus	22.00251_CD14plusFlow	22.00251_CD34plus	22.00251_CD34plusFlow	22.00571_CD14plus	22.00571_CD14plusFlow	22.00571_CD34plus	22.00571_CD34plusFlow	22.00571_MSCflow	22.00697_cd34_b_20K	23.00083_cd14_b_20K	23.00083_cd34_b_20K
A0A024QZB8;A0A0A0MRC7;A0A0D9SFH9;A0A1B0GV71;A0A1B0GW34;A0A1B0GWD3;Q13286	19318.693736900477	NA	103774.1053946056	37046.23790353225	20848.83393888415	47634.2345640894	54571.64697952874	NA	46287.88752373222	185248.07713041521	100312.04042148299	8980.594852849763	45460.76929572852	NA	41731.87326590237	50508.063338983025	40461.70049751987	NA	12736.758278403626	60890.66807634126	35975.97653585147	79689.77863321154	75572.76415000061	66421.49322612773	20577.32116667854	62631.91341969502	24727.038645772343	36578.209258744944	87154.05366071487	98461.26660467494	71623.785994774	52494.22805980969	78526.7021628818	64376.50933935624	22779.363433044546	NA	82964.22320635525	28345.868758555294	NA	33216.66591887745	82597.497882278	36542.508066289876	31171.51531388984	29046.45567617955	51866.724506121136	20937.664273577146	84339.99559533612	109959.66303555077	45675.51347567714	95595.31897262603	114972.17425195343	44079.691614369345	37128.32025343359	20853.234707926378	28594.016465622564	29664.625967165834	NA	56169.25968340202	9004.209747882038	83583.41917026779	17826.89909373736	24875.12554908823	60636.69761817097	36947.10190934239	14945.317630578504	NA	8387.98646977611	110820.05783808437	NA	30241.936443007497	NA	79427.6858097955	34209.26097213346	27594.54519840171	NA	15336.401474374608	108402.71915325026	163936.03145979063	28654.64405757143
A0A024R0Y4	5887.1043708675	NA	18801.87157546656	NA	NA	4398.7882569694075	10166.70830987133	NA	12038.487110507504	NA	NA	23928.555931603016	22383.314408808234	NA	NA	NA	19034.480726622645	NA	8285.135797376359	17788.83214755275	17153.79445726082	32089.79130298734	18534.22357993187	34664.88941148687	27555.847504883066	62932.41622639298	33094.57390029213	30488.799307889192	7269.872018718532	3191.0959398696336	14111.149231973259	19844.190945412352	90588.96940666944	14249.421595734886	NA	NA	NA	27777.478652063943	NA	NA	20965.16071652199	24931.738336181166	48155.974272091065	12914.825932233982	36272.730083564304	52846.06971489047	15751.888098139205	24313.83500029027	9313.448807810602	15500.433434181514	NA	40128.719092942905	38840.90541260121	11752.724443687855	33160.867112495405	36690.84631130427	NA	28767.95479999661	12659.468605579441	54081.465835898634	24125.910751175434	13225.513264269905	NA	16808.32421610783	NA	NA	NA	NA	NA	15992.119200451849	NA	NA	NA	30580.009488373275	NA	13362.28079281762	9308.94110429762	10225.870077548356	26806.6261587687
A0A024R216;Q9Y3E1	106958.33561122188	NA	166972.15633026542	357439.99139152997	185385.9062394654	72813.69103059707	290378.447075618	NA	421236.32840779895	45458.99592351566	48662.18478474549	107239.04001587881	73068.85982258692	NA	145347.6080348579	162758.9432062464	431956.0973028619	NA	444627.7390297266	47954.772227513815	NA	NA	4752.0273637402315	45444.016580563635	686315.8937446858	462221.0340332912	1314878.2348751717	885756.4455741878	107336.71401330078	NA	830.25837145113735	NA	54460.29658132093	NA	84141.07231651245	NA	48182.936844825046	148645.89735176152	400876.19123388146	258108.33373103914	778589.9890632749	740724.7053456331	NA	NA	170224.29166885093	227250.18386410575	117496.55744364274	70076.57069892067	55298.011138294656	210555.23971949902	382328.887452685	1133626.5348364671	231165.82270175416	197104.20244936706	781777.7658209471	959033.1335627165	437975.34164437663	NA	NA	NA	10468.811078775369	989965.3530699181	110646.73251388995	228140.9828162551	306190.9810360066	NA	841781.4271200895	NA	NA	NA	NA	NA	NA	167611.92628731005	138446.1216144844	219114.62103835618	399888.4059271741	NA	NA
A0A024R4E5	416198.03706998826	NA	207358.19544064795	343512.5263715816	392017.54187684145	462096.46568805847	183565.74659736402	NA	319768.7546897911	262353.13427370536	706227.4156131779	689016.5241577412	578812.6002735355	158635.51095972172	542819.3959293667	365716.52698469936	497628.54664952925	NA	507123.32757532166	513898.69007827266	534120.9941844746	350363.29294210183	387378.4050605213	409850.32996049384	372411.688773331	229254.56885326412	356877.2922507573	321821.9798195698	383172.9990446931	576052.4296526475	390100.04016954376	484781.34779865085	311804.33945993974	364442.47703734273	304281.79291223444	791511.1259329071	256110.10926628739	358425.6609514684	NA	423637.8979453428	283225.50915653975	390405.17271426547	406185.7834373183	285651.1974458142	341822.26395904337	375168.7726734863	535117.4735150378	452280.11119313026	576705.0590439027	217201.77803401178	195664.00236097528	262856.90030541486	231139.83583380366	399375.21816137806	268231.36915917567	250429.45165643492	NA	506149.0991374661	446606.18551152723	132067.2926099141	491986.26721924526	308444.27482346096	296643.92294368945	435176.65025249927	217667.40249035376	NA	226540.23026963536	56764.21586046112	NA	224211.45345962126	NA	318723.20419068047	430932.2295861781	528805.9106377885	459125.7977566789	611037.3903790299	215810.8296792095	377037.4713004049	487480.4864708956
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	227956.41759902297	NA	484140.7248616081	150218.67171778792	115465.65255666911	224383.7719111447	116125.87239967643	NA	154857.7947129557	133956.48475425746	NA	18498.962294246263	NA	NA	125852.88690128525	73593.20935802093	21398.91231685119	NA	99807.53403268545	540672.0355458158	369446.8944640368	112922.40896056518	90041.53211038305	62897.26535735928	201364.12290755037	310336.99963381945	80201.24030911943	102588.54099953659	147952.93549483956	285496.5668436249	89814.05857866362	68877.02273766257	104758.94871030544	124065.4315707782	415075.3012020168	NA	109290.93862166884	50446.17152470534	NA	161387.67070660295	50291.899132346065	27979.283740608797	29712.99922910902	39957.52706993241	43906.162041338765	18390.354946199324	440776.86443551903	641605.510559279	306597.70189987833	799093.2280902597	64811.272500075065	47459.75317052128	123831.7114502932	65497.7077840067	40864.03058050859	40891.99457325274	NA	208053.97283890133	191199.95780524815	177160.3807317154	107199.63313407752	138325.7464775542	259785.07495077033	180913.73470697226	140210.7099513181	NA	88338.50927886022	150554.01609161333	NA	94943.95576411633	NA	275938.1867729646	89948.81241178323	96004.065367684	NA	108795.21776492223	43892.72919417806	122809.98181556491	94252.12271451498
A0A024R4M0;P46781	7218517.534218482	284513.7725195056	6395876.906347414	11134832.98120631	5446611.192511434	10520419.086145613	3126404.2721552616	9015904.441525653	9032252.733993046	3872228.4921240164	10164536.488108965	8878773.561630208	10031624.52980601	4981880.5358150955	5019773.688839186	8122848.942573819	7161077.063435887	NA	11216805.713089367	8861926.730787273	7628182.655695624	7068920.753185666	10027944.947625764	8833231.200882407	5936865.243111027	6857261.951126926	9946113.073474048	5499784.412275057	4474573.34084127	5721277.907085975	7733457.636511259	8361834.297510503	6865227.983718839	7010155.311576787	4607889.861357422	10184162.243894568	5089691.611795269	10066320.67287957	7032194.912147483	6983026.626641986	5981090.829723637	10349760.329177195	10513288.678097457	8920229.645144165	7401368.417121843	5703015.641148099	8812189.446935987	5968768.451840611	7978985.5576333385	5439993.4077058155	5041002.808516528	7342356.346039243	6241352.398935513	9175303.180411093	7461745.779196864	7298547.723501382	2268613.0007289285	8475075.43615606	14079159.016787408	7627745.880738732	10520435.563109003	9876821.933995126	4425500.557692162	9763934.3963318225	4574937.694478949	6049350.788870409	9607346.233033435	2128367.646621655	3663501.341397508	4644362.2128686095	NA	3727335.2130890856	6089701.1489469	7492612.446771258	8148581.895803881	5658598.5422674995	5235620.289186743	6227121.573210267	8293218.219546035
A0A024R644;A0A0A0MRU5;O75503	296576.7296682006	NA	468841.4966756141	84970.25465062149	122151.30692032508	119931.70261894404	163614.58937850673	NA	97513.69676365313	295901.3981963451	43273.92929137123	20729.44209694618	119832.46432743774	NA	160963.3558610247	111252.99770164254	42749.04461971348	NA	57872.52102987267	126720.70028987055	69291.62107818543	100550.551402701	96433.1841513847	75403.56361196085	136264.36066361712	234342.70285981146	82563.3027871051	21249.66581237054	128610.8713132669	108193.05809679528	152482.43498055224	123157.60210710549	188425.56336283576	157891.98869609353	798301.7652318948	NA	266466.7897668026	184207.40069314218	NA	87621.04001711479	161576.21469107084	91977.76594719684	83257.91331646113	117539.06000213497	140256.41726608266	128325.11261874602	74597.39189478656	146060.1655173571	65893.35970495697	182082.81105101664	179967.32894023627	82550.49826627695	202410.87980461185	61460.32736917153	25625.519363207684	98866.393972234	NA	NA	121777.23137725366	199629.07725113514	38103.4921002494	68843.14369730506	261480.7917751743	162483.47029845006	564966.4723246678	NA	88098.69757103191	78373.39042713963	NA	252701.62132060615	NA	150221.7600890762	NA	189004.27254035094	NA	69370.2991872736	215458.48213436085	69069.74290229664	119727.80027856458
A0A024R6X1;O00748	26330.47021312025	NA	26100.805732601497	NA	26238.31340783771	NA	NA	NA	26744.236756816517	95491.67896859693	NA	58503.5327523614	42737.75023762451	NA	36668.20825618648	NA	34403.31129256804	NA	15455.073377026538	59443.2460716043	14964.473913559274	17472.76278161716	53589.973334759656	24322.785198448302	21618.23765945165	53031.66343184782	39748.5996275994	31252.52857029073	35704.60426405406	26837.420774483675	21688.750330441286	35759.38034582832	23451.183583918162	19609.24089218491	99928.95362779418	NA	56772.12297750439	13248.189706484516	NA	NA	NA	NA	31603.394941098963	97741.08668102382	NA	NA	NA	20393.327306172843	39745.874591603766	69210.89154923061	NA	31191.963797109514	37480.960767426644	NA	11885.57901178474	34217.43263247196	NA	NA	NA	57301.7291323475	20804.623472789714	NA	NA	NA	NA	NA	NA	234116.616467487	NA	150532.51646367353	NA	75655.60943519797	NA	59432.80397717471	NA	27096.675640236455	61816.953621077795	45389.362727886415	26997.570109160868
A0A024RA52;P25787	675140.2416289544	878301.4864512066	272155.5340052146	1170348.6873492484	1268657.811869376	1214021.6907582516	877294.6088442979	1435516.2187262392	1253092.9830997598	753563.9949211248	1417530.539221218	480767.2545789928	1415128.6079262143	1031765.4744260615	654366.8477829627	1030658.0338441889	458061.15711188	NA	1265258.0484010782	649755.7154012184	1893178.780647998	188424.28155205766	299481.9105883068	441527.8072257067	240582.14021759134	241224.3800704259	607706.5103885216	389488.68107893795	362848.4838026032	316686.6832810393	266954.43798802776	516886.0608798588	833790.6607030138	450686.48478683695	1859023.021817667	1539563.832490938	619833.397964216	1011189.7684567102	1602992.3840156992	211180.54829598864	337420.2609364298	1048596.46886359	2260372.6410629596	1739769.8119127126	268946.51692564227	188850.8897910654	262904.8802611717	160326.39498074257	262518.15479089064	146095.17918028054	368115.12954221066	729379.6240999862	211245.467887877	976468.3098100519	191509.5481136136	504027.11357881513	829877.0128848448	568643.0745092966	2620592.165779507	405794.5303302937	1170819.8383251526	1711932.958551138	909727.2893463604	2403819.3252334693	625508.5638098487	2185984.8193991776	2515434.0984148635	423239.99712054565	1547036.6838172441	1164958.2532837756	NA	434047.15566992195	1105214.8403151454	414880.28770356445	1093375.8755035014	701378.52268742	334163.64394769893	155805.11103277848	292350.73861313635
A0A024RAC6	141198.0002206798	NA	84377.96311852745	140460.11353257476	230901.40901068566	143499.63483240033	158345.40272810706	NA	105862.83578799588	79882.34890059523	153483.17347149094	124675.03920483335	100674.7976831096	NA	158538.06042176107	81491.33505051759	161965.995133157	NA	126372.1410736164	79509.32872177746	125611.91694311505	129261.12583770232	128881.09728682338	114531.27223285858	72167.025045432	105190.05313798784	103419.32845961732	70143.98036233602	86278.66756614673	128812.16384599153	86246.40087912437	104013.41959468347	108329.89554541073	89077.7832412356	113238.33329283565	NA	117107.38281211427	163577.4168261128	NA	131914.610430059	80820.76351288932	124461.76555615121	90004.33698916186	121191.0528499714	111883.04462279797	114875.92546665974	99392.72985757374	90982.418799113555	118471.72925175763	50049.99874476806	109703.11977653686	91975.4458356636	45031.64669280317	117315.7498684234	141737.43871828276	99127.37578669983	NA	145570.6279568859	103229.14721054088	69729.08582890357	91057.43441550221	106727.80788095994	157084.37752923247	114490.766966388	121782.72152785942	NA	182221.8965857055	NA	NA	79240.06002025535	NA	19102.0826030216	NA	45484.01057524536	NA	67092.3804637853	108881.701572735	135771.5429836169	119797.19544406749
