From	To
I3L4N8	ACTG1
Q8N257	H2BC26
Q562R1	ACTBL2
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C16
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
P10412	H1-4
P60709	ACTB
P13796	LCP1
P07737	PFN1
P62328	TMSB4X
P16401	H1-5
P68133	ACTA1
P22626	HNRNPA2B1
P62937	PPIA
P07237	P4HB
P06733	ENO1
P23528	CFL1
P04406	GAPDH
P29350	PTPN6
P54819	AK2
P08670	VIM
Q13509	TUBB3
P09651	HNRNPA1
P07900	HSP90AA1
Q9Y3Z3	SAMHD1
Q12931	TRAP1
P37802	TAGLN2
P26447	S100A4
P63313	TMSB10
O75367	MACROH2A1
P18669	PGAM1
P25705	ATP5F1A
P48735	IDH2
Q9NY65	TUBA8
P10809	HSPD1
P06576	ATP5F1B
P61626	LYZ
Q5JP53	TUBB
Q00839	HNRNPU
Q14103	HNRNPD
P26038	MSN
P11021	HSPA5
P68366	TUBA4A
P21333	FLNA
P04075	ALDOA
P13929	ENO3
P62258	YWHAE
P11142	HSPA8
P30101	PDIA3
Q01518	CAP1
P61978	HNRNPK
P84085	ARF5
P30048	PRDX3
Q00325	SLC25A3
P05386	RPLP1
P60660	MYL6
Q9BQE3	TUBA1C
O75390	CS
Q5HYB6	DKFZp686J1372
P40926	MDH2
P19338	NCL
P27824	CANX
O75915	ARL6IP5
P27797	CALR
P06396	GSN
H7BZJ3	PDIA3
P05141	SLC25A5
P18085	ARF4
P63104	YWHAZ
P61956	SUMO2
P52566	ARHGDIB
P14625	HSP90B1
P08238	HSP90AB1
D6R9P3	HNRNPAB
P26373	RPL13
P31146	CORO1A
P51991	HNRNPA3
Q06830	PRDX1
Q07021	C1QBP
O00299	CLIC1
P35579	MYH9
Q09666	AHNAK
P13639	EEF2
P48595	SERPINB10
Q9H4B7	TUBB1
Q13838	DDX39B
P99999	CYCS
P84077	ARF1
P06748	NPM1
P09211	GSTP1
P31946	YWHAB
P05387	RPLP2
P00558	PGK1
P14174	MIF
P62081	RPS7
P07339	CTSD
P49411	TUFM
P52272	HNRNPM
P27695	APEX1
P68104	EEF1A1
P30050	RPL12
P30040	ERP29
Q9H299	SH3BGRL3
P61586	RHOA
P13489	RNH1
P09382	LGALS1
Q16629	SRSF7
P12236	SLC25A6
P02545	LMNA
Q6PEY2	TUBA3E
Q99497	PARK7
P35268	RPL22
P62750	RPL23A
P39687	ANP32A
P36578	RPL4
Q16555	DPYSL2
Q15365	PCBP1
P16104	H2AX
P23396	RPS3
P62701	RPS4X
P38159	RBMX
P12814	ACTN1
P20700	LMNB1
Q92688	ANP32B
Q9BV40	VAMP8
P29401	TKT
P35232	PHB1
P31949	S100A11
P23284	PPIB
P04843	RPN1
P05164	MPO
P61160	ACTR2
Q9Y2Q3	GSTK1
Q99623	PHB2
Q15084	PDIA6
P10599	TXN
P62263	RPS14
P62241	RPS8
P10606	COX5B
P25398	RPS12
Q9Y2X3	NOP58
P50914	RPL14
P38646	HSPA9
P62826	RAN
Q15185	PTGES3
P04083	ANXA1
P60174	TPI1
P60842	EIF4A1
P08865	RPSA
O75964	ATP5MG
B1AH77	RAC2
P62820	RAB1A
P61026	RAB10
Q14019	COTL1
P24752	ACAT1
P45880	VDAC2
P49755	TMED10
P13010	XRCC5
Q9BUF5	TUBB6
P59998	ARPC4
Q58FF8	HSP90AB2P
P53634	CTSC
P48047	ATP5PO
P47914	RPL29
P00338	LDHA
P30084	ECHS1
Q9Y277	VDAC3
P12956	XRCC6
P62277	RPS13
P37837	TALDO1
Q9BSJ8	ESYT1
P55084	HADHB
F8VZS0	RPLP0
P56134	ATP5MF
J3QRS3	MYL12A
Q99735	MGST2
P62244	RPS15A
P40939	HADHA
P52907	CAPZA1
P51149	RAB7A
P34931	HSPA1L
Q13151	HNRNPA0
Q9NQC3	RTN4
P07741	APRT
P61158	ACTR3
P13073	COX4I1
D3DSM0	ITGB2
K7ELL7	PRKCSH
P04040	CAT
O14773	TPP1
P62753	RPS6
P61254	RPL26
P24539	ATP5PB
Q5JTV8	TOR1AIP1
P04233	CD74
Q06323	PSME1
Q14697	GANAB
P50395	GDI2
P62857	RPS28
Q07020	RPL18
H3BRU6	PCBP2
Q13011	ECH1
P08758	ANXA5
P30044	PRDX5
P61981	YWHAG
O60234	GMFG
P36542	ATP5F1C
P58546	MTPN
P04350	TUBB4A
P62269	RPS18
P62424	RPL7A
O15511	ARPC5
P31943	HNRNPH1
P04844	RPN2
P31948	STIP1
P67809	YBX1
Q9BT09	CNPY3
F8WBR5	CALM2
P39019	RPS19
P49748	ACADVL
Q9P253	VPS18
A6NLN1	PTBP1
P14854	COX6B1
Q15233	NONO
P39656	DDOST
P62873	GNB1
P40121	CAPG
Q07960	ARHGAP1
P22695	UQCRC2
P22314	UBA1
Q15907	RAB11B
P07203	GPX1
P37108	SRP14
Q99798	ACO2
P62851	RPS25
P08133	ANXA6
O15144	ARPC2
O14880	MGST3
P53999	SUB1
P61313	RPL15
Q5T0I0	GSN
P62942	FKBP1A
P46782	RPS5
P62913	RPL11
P63244	RACK1
P07195	LDHB
Q92841	DDX17
P00367	GLUD1
P11310	ACADM
P46777	RPL5
P52209	PGD
O94905	ERLIN2
Q96IX5	ATP5MK
Q02878	RPL6
P14866	HNRNPL
Q1KMD3	HNRNPUL2
Q92804	TAF15
P11279	LAMP1
Q99714	HSD17B10
P62906	RPL10A
P18859	ATP5PF
P52597	HNRNPF
Q00610	CLTC
O43488	AKR7A2
O75477	ERLIN1
P42766	RPL35
Q93084	ATP2A3
P84103	SRSF3
O00584	RNASET2
P49207	RPL34
P55769	SNU13
P36969	GPX4
Q9NVJ2	ARL8B
Q9Y6C9	MTCH2
P29692	EEF1D
P08559	PDHA1
Q08211	DHX9
P40429	RPL13A
P09429	HMGB1
P51659	HSD17B4
P26583	HMGB2
P07355	ANXA2
P24534	EEF1B2
Q9NR31	SAR1A
Q99536	VAT1
P15880	RPS2
P23246	SFPQ
Q01105	SET
O14561	NDUFAB1
P26641	EEF1G
P51159	RAB27A
P51858	HDGF
P53007	SLC25A1
Q9UMS4	PRPF19
P60953	CDC42
P30038	ALDH4A1
Q6DD88	ATL3
P26440	IVD
P50238	CRIP1
Q12906	ILF3
O00483	NDUFA4
P00387	CYB5R3
P07108	DBI
Q5SSJ5	HP1BP3
Q12905	ILF2
Q32Q12	NME1-NME2
P51148	RAB5C
P30086	PEBP1
P04899	GNAI2
Q99439	CNN2
Q07955	SRSF1
Q9Y490	TLN1
Q13263	TRIM28
P62847	RPS24
O43707	ACTN4
P17066	HSPA6
Q9UH99	SUN2
P26599	PTBP1
P68036	UBE2L3
P01903	HLA-DRA
P27348	YWHAQ
Q01130	SRSF2
F8VWQ0	SLC25A3
P27635	RPL10
O15143	ARPC1B
P22307	SCP2
P38117	ETFB
P06744	GPI
P41218	MNDA
B0QYK0	EWSR1
Q92882	OSTF1
Q9ULZ3	PYCARD
P31930	UQCRC1
P21796	VDAC1
P10253	GAA
Q9H3N1	TMX1
Q13423	NNT
P50991	CCT4
P15531	NME1
P03928	MT-ATP8
Q92945	KHSRP
Q15942	ZYX
P19404	NDUFV2
P40925	MDH1
P14317	HCLS1
P05107	ITGB2
P00441	SOD1
Q9H2U2	PPA2
Q99832	CCT7
A0A0D9SFP2	HADH
P34897	SHMT2
O60506	SYNCRIP
Q9BWM7	SFXN3
Q16698	DECR1
Q12907	LMAN2
P40227	CCT6A
O43390	HNRNPR
P78371	CCT2
P05455	SSB
Q03252	LMNB2
P20674	COX5A
P67812	SEC11A
P14618	PKM
Q9UKM9	RALY
P61224	RAP1B
O75368	SH3BGRL
O75531	BANF1
P24844	MYL9
O00186	STXBP3
Q9BS26	ERP44
Q9Y3B3	TMED7
Q04917	YWHAH
Q9P258	RCC2
P49458	SRP9
H7BXI1	ESYT2
Q16777	H2AC20
Q9BVK6	TMED9
Q96BZ4	PLD4
Q9NR28	DIABLO
O14745	NHERF1
O15145	ARPC3
P36957	DLST
P61009	SPCS3
P35637	FUS
P55072	VCP
P13667	PDIA4
P16152	CBR1
Q86WV6	STING1
P18124	RPL7
P14406	COX7A2
Q8TCT9	HM13
Q9NS69	TOMM22
H0Y5F5	PABPC4
O95716	RAB3D
Q02978	SLC25A11
P42167	TMPO
P61803	DAD1
Q13185	CBX3
P05388	RPLP0
H7C3I1	ST13
Q15056	EIF4H
Q9UL46	PSME2
P51572	BCAP31
O43809	NUDT21
Q6P1A2	LPCAT3
Q9Y3C8	UFC1
P83731	RPL24
P30740	SERPINB1
P49368	CCT3
Q96T66	NMNAT3
Q15717	ELAVL1
Q99613	EIF3C
P46779	RPL28
P53396	ACLY
E9PAV3	NACA
P11717	IGF2R
Q92522	H1-10
O00182	LGALS9
P62266	RPS23
Q5T6W2	HNRNPK
P55795	HNRNPH2
O00567	NOP56
P16949	STMN1
P52306	RAP1GDS1
P47985	UQCRFS1
P63218	GNG5
P14927	UQCRB
Q07812	BAX
P32119	PRDX2
P46781	RPS9
P46778	RPL21
Q9P0L0	VAPA
O14979	HNRNPDL
Q13637	RAB32
P16070	CD44
Q15393	SF3B3
