From	To
A0A024R0Y4	TADA2A
A0A024R4E5	HDLBP
A0A075B6H4	KAT14
A0A087WT20	DCAF13
A0A087WT35	PIP4K2B
A0A087WTJ2	GIMAP1-GIMAP5
A0A087WU03	HNRNPDL
A0A087WU31	CLCN3
A0A087WUW5	PTBP1
A0A087WVZ6	ZMYND8
A0A087WWI0	LRMDA
A0A087WWP8	RSBN1
A0A087WWU8	TPM3
A0A087WXI0	RAB44
A0A087WZ13	RAVER1
A0A087WZG4	ARHGEF18
A0A087X0M4	SLC4A1AP
A0A087X0N3	NOL4L
A0A087X1N8	SERPINB6
A0A087X1S7	CD48
A0A087X1X5	CNN2
A0A087X2I1	PSMC6
A0A088AWN3	DOCK9
A0A096LNH6	DOCK1
A0A096LP25	AAK1
A0A096LP69	CD99
A0A096LPC5	WASHC2C
A0A0A0MQW0	MYEF2
A0A0A0MR05	MLST8
A0A0A0MR45	CAST
A0A0A0MRA8	EPB41L3
A0A0A0MRB5	MADD
A0A0A0MRJ3	NAV1
A0A0A0MRM9	NOLC1
A0A0A0MS08	IGHG1
A0A0A0MS45	COG4
A0A0A0MS51	GSN
A0A0A0MSK4	GPSM1
A0A0A0MT35	PRXL2B
A0A0A0MT56	CSTF2
A0A0A0MTR7	RNF213
A0A0A6YYH1	C15orf38-AP3S2
A0A0A6YYL4	PAM16
A0A0B4J1X2	CACNA1G
A0A0B4J220	C11orf98
A0A0B4J230	ATP5IF1
A0A0B4J2F0	PIGBOS1
A0A0C4DFN3	MGLL
A0A0C4DFT3	DLG1
A0A0C4DG40	SYNE1
A0A0C4DG68	PUM2
A0A0C4DG89	DDX46
A0A0C4DGB5	CAST
A0A0C4DGB9	PPA2
A0A0C4DGQ8	DHRS7B
A0A0C4DGS1	DDOST
A0A0C4DGT3	IQSEC1
A0A0D9SEN7	RUNX2
A0A0D9SF53	DDX3X
A0A0D9SF54	SPTAN1
A0A0D9SFE4	DNM1
A0A0D9SFM4	SLC9A6
A0A0D9SG04	COBLL1
A0A0G2JLC0	C1QBP
A0A0G2JMB2	IGHA2
A0A0G2JNT7	KANSL1
A0A0G2JNY3	ARHGAP27
A0A0G2JP25	LILRB4
A0A0G2JPB1	HLA-C
A0A0G2JQM1	AP2A2
A0A0J9YWI5	TBCD
A0A0J9YWL0	CRYBG1
A0A0J9YXF2	PON2
A0A0U1RQD2	CCDC149
A0A0U1RQK7	EIF4G3
A0A0U1RQQ2	SMARCB1
A0A0U1RQR6	RTN4
A0A0U1RRE5	NBDY
A0A0U1RRH6	PHF14
A0A0U1RRM6	ENAH
A0A0X1KG71	NELFB
A0A140T9L0	WDR46
A0A182DWE9	HLA-DPB1
A0A182DWF4	HLA-DPB1
A0A182DWH4	HLA-DRB3
A0A1B0GTU4	PXN
A0A1B0GTZ5	ASAH1
A0A1B0GUC7	PPP3R2
A0A1B0GUD6	GRAMD1B
A0A1B0GV45	MYO18A
A0A1B0GV70	TEPSIN
A0A1B0GVL4	FAM193A
A0A1B0GVL5	CFAP92
A0A1B0GW05	DPY19L1
A0A1B0GWA0	ZNF654
A0A1B0GWJ6	MYO18A
A0A1C7CYX1	MIDEAS
A0A1W2PP35	HNRNPU
A0A1W2PPQ2	HLA-A
A0A1W2PQC2	HADH
A0A1W2PQH3	ME2
A0A1W2PR68	ME2
A0A286YF28	STX3
A0AV96	RBM47
A0AVI4	TMEM129
A0AVT1	UBA6
A0JNW5	BLTP3B
A0MZ66	SHTN1
A0PJW6	TMEM223
A1A4S6	ARHGAP10
A1L0T0	ILVBL
A1L390	PLEKHG3
A1X283	SH3PXD2B
A2A274	ACO2
A2A288	ZC3H12D
A2A3R5	RPS6
A2AEA2	HLA-C
A2AJT9	BCLAF3
A2RRP1	NBAS
A2RTX5	TARS3
A2RU37	LINC02872
A2RUC4	TYW5
A2VDJ0	TMEM131L
A3KMH1	VWA8
A3KN83	SBNO1
A4D126	CRPPA
A4D1B5	GSAP
A4D1E9	GTPBP10
A4D1P6	WDR91
A4D1U4	DENND11
A4UGR9	XIRP2
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A6NC98	CCDC88B
A6NDG6	PGP
A6NDU8	RIMOC1
A6NED2	RCCD1
A6NEM2	HCFC1
A6NFI3	ZNF316
A6NFY7	SDHAF1
A6NHR9	SMCHD1
A6NI73	LILRA5
A6NI79	CCDC69
A6NIH7	UNC119B
A6NJ78	METTL15
A6NJG2	SOWAHD
A6NK58	LIPT2
A6NMU3	STAM
A6NND1	RPS6KA1
A6NNZ2	TUBB8B
A6QL63	ABTB3
A8CG34	POM121C
A8K4G0	CD300LB
A8K727	PLEKHA2
A8K7Q2	HSPA8
A8K968	EPB41L3
A8MPS7	YDJC
A8MQB8	FMR1
A8MT69	CENPX
A8MUA9	SUMO3
A8MVS5	HIDE1
A8MXP9	MATR3
A8MXV4	NUDT19
B0I1T2	MYO1G
B0YJ81	HACD1
B1AH77	RAC2
B1AKB5	TFEB
B1ALK7	ARHGEF7
B1AM21	GNAQ
B1AMV7	SFXN4
B1ANH0	GUK1
B3KTM8	MORF4L1
B4DDD6	DBNL
B4DED4	HAGHL
B4DGM3	SMARCE1
B4DHE8	MSI2
B4DL54	CHURC1-FNTB
B4DPQ0	C1R
B4DR80	STK24
B4DV51	RAN
B4DWG0	RCBTB2
B4DY08	HNRNPC
B4E2Q0	ATP2C1
B5MC59	RPA3
B5MCF1	HDAC9
B5MCW3	BRD8
B7XGB9	PPM1M
B7Z1G8	SURF4
B7Z4K9	NAP1L1
B7Z4M1	RTN3
B7Z5R0	ZNF747
B7Z645	SYNCRIP
B7Z7F3	RANBP3
B7ZL14	FNBP1
B8ZZ50	EIF4E2
B9A058	HIBCH
B9EGQ5	WIZ
C6EMZ7	OAS1
C9IZA5	VCP
C9J0K6	SRI
C9J2C0	TUBA8
C9J2Q4	SEPTIN2
C9J406	IMMT
C9J539	GLB1
C9J5W6	TAGLN3
C9J6P4	ZC3HAV1
C9J7I0	UMAD1
C9JA17	ATP6V1A
C9JDQ1	MOGS
C9JEH7	RPS4Y1
C9JFV4	PELP1
C9JIS1	GNB2
C9JRZ8	AKR1B15
C9JSZ1	FUBP1
C9JVE2	DCUN1D1
C9JWD9	KPNA1
